from	to
415	6
415	72
415	930
415	751
7	987
7	713
865	984
235	5
235	452
235	344
235	789
235	573
165	2
165	65
165	864
165	677
165	261
357	6
357	938
357	496
357	749
357	571
357	510
48	55
768	8
944	989
3	865
3	919
4	651
4	792
4	513
4	963
4	752
11	275
11	291
11	860
11	837
473	762
341	8
341	872
341	666
341	649
341	876
1	747
1	808
1	501
16	9
16	322
16	623
16	879
16	880
13	3
13	207
13	984
13	634
851	975
10	944
10	956
10	227
275	458
747	840
747	986
747	892
747	877
792	891
182	9
182	811
182	274
182	869
158	3
158	723
158	344
158	986
158	617
158	360
158	353
709	874
709	966
709	804
291	671
291	770
291	385
291	565
291	732
146	3
146	225
146	719
146	283
146	480
146	749
146	320
146	641
782	8
808	867
808	870
513	544
513	565
260	6
260	860
260	637
260	79
260	941
260	432
260	338
168	7
168	891
168	312
168	736
168	591
626	7
626	829
626	993
626	922
713	997
713	78
713	811
5	851
5	723
393	494
393	923
393	843
9	963
225	9
225	31
225	938
225	405
778	9
778	928
778	952
32	713
32	8
32	827
2	48
2	473
2	393
2	392
2	558
648	7
648	660
227	568
227	239
227	313
227	795
227	954
0	709
501	560
392	784
392	761
392	800
558	620
558	949
558	736
558	929
558	758
752	853
752	995
723	752
272	6
272	395
322	687
322	388
322	809
322	604
322	421
623	658
623	950
623	68
623	664
623	811
623	797
144	197
144	770
144	206
144	647
21	241
21	380
21	867
21	733
21	961
21	928
21	69
21	715
21	794
21	891
21	356
241	737
241	379
241	442
241	270
241	376
380	441
380	644
380	991
380	970
518	910
518	862
785	915
785	862
733	986
733	886
57	880
57	863
57	874
228	501
228	244
228	384
228	676
228	435
228	843
529	880
529	77
529	542
529	85
529	849
529	857
19	791
19	73
207	553
207	619
207	934
207	287
20	518
20	785
20	66
20	512
20	356
20	349
35	632
35	726
35	927
620	627
69	962
14	999
14	35
14	343
14	997
715	808
715	912
17	415
17	785
17	529
17	83
17	620
17	606
17	485
17	660
334	660
334	979
334	79
334	75
334	403
12	144
12	943
12	72
12	687
12	866
12	309
12	453
12	89
343	43
343	475
343	757
343	567
606	62
606	848
140	18
140	64
140	784
140	897
140	990
535	636
66	837
66	885
837	999
837	897
837	848
72	866
72	741
72	934
687	690
879	969
18	334
18	535
18	564
18	452
15	235
15	747
15	322
15	356
15	167
136	32
136	19
136	590
136	37
136	828
136	99
866	885
485	865
485	947
564	787
452	633
512	776
512	597
22	57
22	228
22	788
22	936
22	312
22	556
22	734
22	609
22	625
356	984
356	41
356	85
356	615
309	43
309	681
453	527
453	656
634	843
73	838
660	90
660	857
349	71
349	635
349	981
349	496
349	897
349	795
349	621
167	556
167	172
167	766
25	682
25	898
25	344
25	451
788	830
788	917
530	94
530	632
530	718
530	935
530	616
530	708
530	834
23	781
23	965
553	894
553	70
553	877
541	778
541	785
541	552
541	830
541	870
541	616
26	944
26	527
26	622
26	671
762	938
355	546
355	383
355	809
31	961
31	553
31	925
31	840
31	603
204	356
204	34
312	781
312	399
312	849
312	351
312	850
312	329
312	368
527	77
527	532
527	773
33	541
33	762
33	979
33	355
33	629
33	731
202	415
202	723
202	28
202	590
202	637
202	99
202	571
202	856
202	688
202	887
199	35
199	31
199	855
371	56
371	697
371	811
371	996
371	505
371	904
556	944
556	746
694	997
694	722
375	65
375	672
375	937
658	894
658	813
738	962
24	462
29	535
29	312
137	23
137	846
137	907
137	252
462	785
190	415
190	26
190	658
190	432
622	816
454	637
734	800
734	926
609	637
609	902
898	91
94	985
629	718
629	775
629	989
192	30
192	295
192	384
192	97
192	259
192	923
192	669
192	208
142	144
142	355
142	34
142	619
142	53
142	690
142	218
142	176
142	695
142	814
142	826
27	987
27	77
27	454
27	890
27	938
27	459
27	333
731	949
731	855
34	371
34	375
34	658
34	738
193	34
193	753
193	503
193	477
840	867
459	531
333	603
333	971
333	954
333	395
466	542
466	697
466	514
466	621
671	704
603	717
603	763
603	695
344	824
344	920
344	424
344	419
625	827
625	853
625	680
625	744
625	988
451	717
451	786
451	945
28	694
28	466
327	33
327	761
327	522
327	695
327	814
327	935
327	340
327	474
327	750
327	924
30	723
30	530
30	94
30	98
455	542
455	76
455	672
455	679
737	961
737	828
321	625
321	42
321	358
321	582
321	669
44	619
632	763
162	36
162	180
162	900
162	780
162	935
636	980
39	984
39	556
39	894
40	455
425	535
425	879
425	640
425	903
425	801
425	630
967	976
619	965
619	650
619	995
173	999
173	41
173	287
173	996
247	355
247	45
247	659
610	664
610	683
610	945
520	932
520	729
590	725
590	673
590	825
590	953
131	43
131	810
129	39
129	135
129	588
129	757
550	634
550	556
550	916
362	831
362	41
362	578
362	593
717	792
717	826
831	842
490	568
55	737
55	819
55	753
722	851
722	840
37	636
37	722
37	846
254	37
254	578
254	770
824	910
43	986
43	552
702	758
212	824
212	43
212	348
212	508
212	708
250	943
250	37
250	298
348	45
348	377
348	91
348	970
179	963
179	45
179	930
179	582
179	345
179	467
41	717
41	818
41	927
41	913
41	685
279	44
279	460
279	646
523	687
523	998
46	610
46	548
552	735
38	737
38	824
38	839
38	433
548	671
548	799
47	564
47	550
47	831
47	490
839	984
315	349
315	44
315	725
315	780
180	39
180	335
180	825
45	860
45	618
45	523
45	711
542	619
441	47
441	976
441	661
119	37
119	389
119	516
119	980
119	826
119	164
119	714
433	903
433	882
42	425
42	967
42	520
42	590
42	702
42	542
685	704
685	881
693	938
693	872
497	944
497	867
497	66
497	711
497	56
497	740
497	958
807	965
178	59
178	303
178	926
178	313
178	740
178	699
229	558
229	879
229	59
229	624
536	59
536	932
536	581
576	648
576	685
576	59
576	589
576	805
728	792
60	963
60	66
60	739
763	891
763	960
171	527
171	50
171	251
171	467
171	216
171	790
234	60
234	75
234	813
486	60
486	828
257	452
257	50
257	347
257	359
257	484
483	837
483	840
483	636
483	50
483	700
295	56
295	67
295	91
295	428
295	948
61	610
61	701
61	968
244	375
244	61
244	680
244	432
427	485
427	61
427	922
427	450
427	758
546	747
546	963
546	548
546	61
546	931
388	57
388	788
561	867
561	83
561	702
561	61
561	637
701	763
701	947
701	883
968	973
297	61
297	990
297	841
297	917
434	501
434	52
434	533
568	58
568	751
568	644
568	855
62	851
62	997
62	933
62	835
871	912
230	625
230	49
230	656
230	237
230	842
230	935
335	660
335	451
335	49
335	448
335	397
335	732
335	612
323	880
323	568
323	49
323	508
187	636
187	913
187	51
187	381
187	624
52	785
52	936
52	912
53	715
53	763
53	949
53	719
949	964
652	768
652	959
652	945
148	54
148	206
148	385
599	898
599	914
599	99
599	895
599	921
49	713
912	948
54	693
54	652
54	765
765	824
765	787
765	813
382	794
382	53
382	907
382	784
382	641
382	870
382	482
382	409
377	57
377	591
289	987
289	58
289	437
423	58
423	461
423	585
423	510
51	808
874	912
874	896
874	888
58	807
58	678
186	275
186	890
186	839
186	58
186	412
186	379
186	691
186	759
186	935
678	70
678	935
678	845
59	702
59	678
174	83
174	590
174	719
174	59
174	386
174	699
50	905
50	728
50	599
56	802
56	871
933	959
70	956
70	963
70	823
237	72
237	462
237	671
237	576
237	70
237	955
237	253
237	296
237	607
237	679
361	72
361	625
361	722
361	772
416	72
416	998
416	817
65	79
545	72
950	994
608	963
608	70
608	916
670	72
670	82
741	904
384	63
384	614
384	504
384	862
384	446
955	963
276	984
276	718
276	64
276	469
276	339
183	227
183	928
183	542
183	905
183	65
183	80
183	495
183	560
478	72
478	81
478	946
478	710
478	993
215	72
215	819
215	884
215	562
215	669
215	857
215	539
215	224
215	708
172	199
172	68
172	379
172	263
172	469
71	718
71	939
253	73
253	551
253	302
253	859
267	73
267	479
267	953
267	754
635	73
635	786
635	770
635	666
635	740
689	73
524	69
524	877
74	928
74	832
155	66
155	353
155	216
637	71
637	759
363	69
363	562
308	808
308	384
308	524
308	64
308	85
358	70
358	537
358	519
358	918
68	979
718	924
847	939
847	989
150	66
150	645
150	95
489	965
489	70
489	74
489	575
489	569
116	728
116	64
116	374
116	401
282	65
282	584
282	910
493	71
493	532
493	755
493	686
405	63
405	96
907	937
64	656
64	950
64	847
64	911
650	69
63	83
63	955
63	637
220	416
220	65
220	593
220	274
197	392
197	355
197	67
197	960
697	866
697	70
697	931
67	997
67	920
67	907
350	513
350	62
350	920
350	820
350	895
350	845
350	604
350	758
79	90
835	866
835	898
835	964
460	894
460	68
690	71
690	746
690	976
690	804
532	64
532	771
653	68
653	948
399	75
399	417
399	566
75	842
766	789
246	77
246	541
246	474
246	883
246	255
628	78
181	530
181	315
181	79
181	195
181	549
181	221
181	662
181	303
181	878
181	887
443	694
443	548
443	80
443	681
443	854
614	618
614	80
509	83
509	527
509	701
404	553
404	527
404	912
404	637
404	784
404	80
404	538
404	902
404	420
404	716
85	965
256	731
256	76
256	942
256	302
256	616
256	566
256	540
256	595
256	458
256	557
605	715
605	78
605	966
372	85
372	853
372	972
372	627
372	793
76	766
76	789
298	350
298	784
298	84
298	479
298	469
298	600
298	601
784	81
784	931
784	796
639	78
639	672
639	773
412	650
412	87
412	707
412	591
525	693
525	678
525	87
572	949
572	88
578	648
578	76
81	892
508	74
508	930
508	998
508	813
508	843
166	202
166	658
166	192
166	427
166	75
166	496
166	480
166	720
166	742
166	296
166	633
166	857
166	602
166	428
684	80
684	809
892	979
366	84
366	642
366	805
366	507
692	738
692	85
692	992
218	89
218	374
218	740
218	712
218	631
218	649
828	86
828	992
504	84
504	579
504	740
504	978
521	76
521	710
521	584
521	686
300	509
300	85
300	642
300	638
300	668
645	87
645	716
292	452
292	88
292	806
292	710
231	89
231	673
232	778
232	89
232	888
232	296
832	934
832	978
700	89
210	90
210	286
210	402
210	417
91	914
214	879
214	532
214	91
214	456
214	990
214	744
383	89
383	77
383	536
383	434
383	91
383	942
383	764
160	963
160	85
160	271
160	881
160	803
160	534
664	91
664	990
664	970
858	91
858	869
858	958
789	82
789	801
80	946
151	520
151	180
151	74
151	907
151	932
151	756
151	903
706	82
706	811
704	87
617	768
617	690
617	75
932	997
811	943
104	765
104	361
104	96
104	147
104	992
104	797
104	286
104	770
104	888
233	94
233	806
233	310
538	747
538	94
538	695
538	571
538	586
251	92
593	94
593	710
787	94
787	874
544	556
544	95
909	95
492	778
492	98
492	603
492	718
492	495
492	947
112	94
